ID;TITLE;YEAR;KEY;PUBLISHED INTO;PUBLICATION TYPE;BIBTEX;TYPE OF WORK;ABSTRACT;CATEGORY;LLM APPROACH TYPE;BENCHMARK;LLMs USED;EVALUATION METRIC;TOOL
P39;Effective Test Generation Using Pre-trained Large Language Models and Mutation Testing;2024;Dakhel2024;J: IST;Journal;"@article{Dakhel2024,
  title = ""Effective test generation using pre-trained large language models and mutation testing"",
  author = ""Dakhel, Arghavan Moradi and Nikanjam, Amin and Majdinasab, Vahid and Khomh, Foutse and Desmarais, Michel C"",
  journal = ""Information and Software Technology"",
  month = """",
  year = ""2025"",
  volume = ""171"",
  number = """",
  pages = ""107468"",
  address = """",
  publisher = ""Elsevier"",
  doi = ""10.1016/j.infsof.2024.107468"",
  url = ""https://doi.org/10.1016/j.infsof.2024.107468""
}
";Research Contribution;One of the critical phases in software development is software testing. Testing helps with identifying potential bugs and reducing maintenance costs. The goal of automated test generation tools is to ease the development of tests by suggesting efficient bug-revealing tests. Recently, researchers have leveraged Large Language Models (LLMs) of code to generate unit tests. While the code coverage of generated tests was usually assessed, the literature has acknowledged that the coverage is weakly correlated with the efficiency of tests in bug detection. To improve over this limitation, in this paper, we introduce MuTAP for improving the effectiveness of test cases generated by LLMs in terms of revealing bugs by leveraging mutation testing. Our goal is achieved by augmenting prompts with surviving mutants, as those mutants highlight the limitations of test cases in detecting bugs. MuTAP is capable of generating effective test cases in the absence of natural language descriptions of the Program Under Test (PUTs). We employ different LLMs within MuTAP and evaluate their performance on different benchmarks. Our results show that our proposed method is able to detect up to 28% more faulty human-written code snippets. Among these, 17% remained undetected by both the current state-of-the-art fully automated test generation tool (i.e., Pynguin) and zero-shot/few-shot learning approaches on LLMs. Furthermore, MuTAP achieves a Mutation Score (MS) of 93.57% on synthetic buggy code, outperforming all other approaches in our evaluation. Our findings suggest that although LLMs can serve as a useful tool to generate test cases, they require specific post-processing steps to enhance the effectiveness of the generated test cases which may suffer from syntactic or functional errors and may be ineffective in detecting certain types of bugs and testing corner cases PUTs.;Test Augmentation or Improvement;LLM-Pure-Prompting;HumanEval, Refactory;OpenAI Codex, Llama-Family;Mutation Rate;
P40;Enhancing LLM’s Ability to Generate More Repository-Aware Unit Tests Through Precise Contextual Information Injection;2025;Yin2025;arXiv;arXiv;"@misc{Yin2025,
  title = ""Enhancing LLM's Ability to Generate More Repository-Aware Unit Tests Through Precise Contextual Information Injection"",
  author = ""Yin, Xin and Ni, Chao and Li, Xinrui and Chen, Liushan and Ma, Guojun and Yang, Xiaohu"",
  archivePrefix = ""arXiv Preprint"",
  year = ""2025"",
  publisher = ""arXiv"",
  doi = ""10.48550/arXiv.2501.07425"",
  url = ""https://doi.org/10.48550/arXiv.2501.07425""
}";Research Contribution;Though many learning-based approaches have been proposed for unit test generation and achieved remarkable performance, they still have limitations in relying on task-specific datasets. Recently, Large Language Models (LLMs) guided by prompt engineering have gained attention for their ability to handle a broad range of tasks, including unit test generation. Despite their success, LLMs may exhibit hallucinations when generating unit tests for focal methods or functions due to their lack of awareness regarding the project's global context. These hallucinations may manifest as calls to non-existent methods, as well as incorrect parameters or return values, such as mismatched parameter types or numbers. While many studies have explored the role of context, they often extract fixed patterns of context for different models and focal methods, which may not be suitable for all generation processes (e.g., excessive irrelevant context could lead to redundancy, preventing the model from focusing on essential information). To overcome this limitation, we propose RATester, which enhances the LLM's ability to generate more repository-aware unit tests through global contextual information injection. To equip LLMs with global knowledge similar to that of human testers, we integrate the language server gopls, which provides essential features (e.g., definition lookup) to assist the LLM. When RATester encounters an unfamiliar identifier (e.g., an unfamiliar struct name), it first leverages gopls to fetch relevant definitions and documentation comments, and then uses this global knowledge to guide the LLM. By utilizing gopls, RATester enriches the LLM's knowledge of the project's global context, thereby reducing hallucinations during unit test generation.;Unit Test Generation;LLM-Pure-Prompting;Custom;DeepSeekCoder, CodeLlama, Magicoder;% Build, Test Coverage;
P41;Evaluating large language models for software testing;2025;Li2025;J: Comp. Std. and Int.;Journal;"@article{Li2025,
  title = ""Evaluating large language models for software testing"",
  author = ""Yihao Li and Pan Liu and Haiyang Wang and Jie Chu and W. Eric Wong"",
  journal = ""Computer Standards & Interfaces"",
  month = """",
  year = ""2025"",
  volume = ""93"",
  number = """",
  pages = ""103942"",
  address = """",
  publisher = ""Elsevier"",
  doi = ""10.1016/j.csi.2024.103942"",
  url = ""https://doi.org/10.1016/j.csi.2024.103942""
}";Research Contribution;Large language models (LLMs) have demonstrated significant prowess in code analysis and natural language processing, making them highly valuable for software testing. This paper conducts a comprehensive evaluation of LLMs applied to software testing, with a particular emphasis on test case generation, error tracing, and bug localization across twelve open-source projects. The advantages and limitations, as well as recommendations associated with utilizing LLMs for these tasks, are delineated. Furthermore, we delve into the phenomenon of hallucination in LLMs, examining its impact on software testing processes and presenting solutions to mitigate its effects. The findings of this work contribute to a deeper understanding of integrating LLMs into software testing, providing insights that pave the way for enhanced effectiveness in the field.;Reflections;LLM-Pure-Prompting;Custom;GPT-Family, Other;% Build, Bugs Rate, Other;
P42;A Large-scale Empirical Study on Fine-tuning Large Language Models for Unit Testing;2024;Shang2024;C: ISSTA;Conference;"@article{Shang2024,
  title = ""A Large-scale Empirical Study on Fine-tuning Large Language Models for Unit Testing"",
  author = ""Shang, Ye and Zhang, Quanjun and Fang, Chunrong and Gu, Siqi and Zhou, Jianyi and Chen, Zhenyu"",
  journal = ""arXiv Preprint (Submitted to ISSTA25) "",
  volume = """",
  number = """",
  pages = """",
  year = ""2024"",
  publisher = ""arXiv"",
  doi = ""10.48550/arXiv.2412.16620"",
  url = ""https://doi.org/10.48550/arXiv.2412.16620""
}
";Research Contribution;"Unit testing plays a pivotal role in software development, improving software quality and reliability. However, generating effective test cases manually is time-consuming, prompting interest in unit testing research. Recently, Large Language Models (LLMs) have shown potential in various unit testing tasks, including test generation, assertion generation, and test evolution, but existing studies are limited in scope and lack a systematic evaluation of the effectiveness of LLMs.
To bridge this gap, we present a large-scale empirical study on fine-tuning LLMs for unit testing. Our study involves three unit testing tasks, five benchmarks, eight evaluation metrics, and 37 popular LLMs across various architectures and sizes, consuming over 3,000 NVIDIA A100 GPU hours. We focus on three key research questions: (1) the performance of LLMs compared to state-of-the-art methods, (2) the impact of different factors on LLM performance, and (3) the effectiveness of fine-tuning versus prompt engineering. Our findings reveal that LLMs outperform existing state-of-the-art approaches on all three unit testing tasks across nearly all metrics, highlighting the potential of fine-tuning LLMs in unit testing tasks. Furthermore, large-scale, decoder-only models achieve the best results across tasks, while encoder-decoder models perform better under the same parameter scale. Additionally, the comparison of the performance between fine-tuning and prompt engineering approaches reveals the considerable potential capability of the prompt engineering approach in unit testing tasks. We then discuss the concerned issues on the test generation task, including data leakage issues, bug detection capabilities, and metrics comparisons. Finally, we further pinpoint carious practical guidelines for LLM-based approaches to unit testing tasks in the near future.";Reflections;LLM-Pure-Prompting;Methods2Test, Other, Defects4J;ATLAS, CodeBert, GraphCodeBert, UniXcoder, CodeT5, Other, CodeGPT, Starcoder-2, CodeLlama, DeepSeekCoder;% Test Correct, % Pass, % Test Fail, % Build, % Test Syntax Error, BLEU, CodeBLEU, Bugs Rate, ML-metrics, Other, EM (Exact Match);
P43;A System for Automated Unit Test Generation Using Large Language Models and Assessment of Generated Test Suites;2024;Lops2024;C: ICST;Conference;"@Inproceedings{Lops2024 ,
  author =       ""Lops, Andrea and Narducci, Fedelucio and Ragone, Azzurra and Trizio, Michelantonio and Bartolini, Claudio"",
  title =        ""A System for Automated Unit Test Generation Using Large Language Models and Assessment of Generated Test Suites"",
  booktitle =    ""2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)"",
  series =       ""ICST '25"",
  editor =       """",
  volume =       """",
  year =         ""2025"",
  publisher =    ""IEEE Computer Society"",
  address =      ""Naples, Italy"",
  pages =        ""29--36"",
  doi =          ""10.1109/ICSTW64639.2025.10962454"",
  url =          ""https://doi.org/10.1109/ICSTW64639.2025.10962454""
}";Research Contribution;Unit tests represent the most basic level of testing within the software testing lifecycle and are crucial to ensuring software correctness. Designing and creating unit tests is a costly and labor-intensive process that is ripe for automation. Recently, Large Language Models (LLMs) have been applied to various aspects of software development, including unit test generation. Although several empirical studies evaluating LLMs' capabilities in test code generation exist, they primarily focus on simple scenarios, such as the straightforward generation of unit tests for individual methods. These evaluations often involve independent and small-scale test units, providing a limited view of LLMs' performance in real-world software development scenarios. Moreover, previous studies do not approach the problem at a suitable scale for real-life applications. Generated unit tests are often evaluated via manual integration into the original projects, a process that limits the number of tests executed and reduces overall efficiency. To address these gaps, we have developed an approach for generating and evaluating more real-life complexity test suites. Our approach focuses on class-level test code generation and automates the entire process from test generation to test assessment. In this work, we present AgoneTest: an automated system for generating test suites for Java projects and a comprehensive and principled methodology for evaluating the generated test suites. Starting from a state-of-the-art dataset (i.e., Methods2Test), we built a new dataset for comparing human-written tests with those generated by LLMs. Our key contributions include a scalable automated software system, a new dataset, and a detailed methodology for evaluating test quality.;Unit Test Generation;LLM-Pure-Prompting;Custom;GPT-Family;% Test Smells, Test Coverage;AgoneTEST
P44;Test Wars: A Comparative Study of SBST, Symbolic Execution, and LLM-Based Approaches to Unit Test Generation;2025;Abdullin2025;C: ICST;Conference;"@Inproceedings{Abdullin2025 ,
  author =       ""Azat Abdullin and Pouria Derakhshanfar and Annibale Panichella"",
  title =        ""Test Wars: A Comparative Study of SBST, Symbolic Execution, and LLM-Based Approaches to Unit Test Generation"",
  booktitle =    ""Proceedings of the 18th IEEE International Conference on Software Testing, Verification and Validation (ICST) 2025"",
  series =       ""ICST '25"",
  editor =       """",
  volume =       """",
  year =         ""2025"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Naples, Italy"",
  pages =        ""--"",
  doi = ""10.48550/arXiv.2501.10200"",
  url = ""https://doi.org/10.48550/arXiv.2501.10200""
}";Survey;Unit tests represent the most basic level of testing within the software testing lifecycle and are crucial to ensuring software correctness. Designing and creating unit tests is a costly and labor-intensive process that is ripe for automation. Recently, Large Language Models (LLMs) have been applied to various aspects of software development, including unit test generation. Although several empirical studies evaluating LLMs' capabilities in test code generation exist, they primarily focus on simple scenarios, such as the straightforward generation of unit tests for individual methods. These evaluations often involve independent and small-scale test units, providing a limited view of LLMs' performance in real-world software development scenarios. Moreover, previous studies do not approach the problem at a suitable scale for real-life applications. Generated unit tests are often evaluated via manual integration into the original projects, a process that limits the number of tests executed and reduces overall efficiency. To address these gaps, we have developed an approach for generating and evaluating more real-life complexity test suites. Our approach focuses on class-level test code generation and automates the entire process from test generation to test assessment. In this work, we present AgoneTest: an automated system for generating test suites for Java projects and a comprehensive and principled methodology for evaluating the generated test suites. Starting from a state-of-the-art dataset (i.e., Methods2Test), we built a new dataset for comparing human-written tests with those generated by LLMs. Our key contributions include a scalable automated software system, a new dataset, and a detailed methodology for evaluating test quality.;Reflections;Hybrid-Prompting;GitBug;CodeLlama, GPT-Family, Llama-Family;Test Coverage, Static Analysis Metrics, Other, Mutation Rate;-
P45;Using large language models to generate junit tests: An empirical study;2024;Siddiq2024;C:EASE;Conference;"@Inproceedings{Siddiq2024 ,
  author =       ""Siddiq, Mohammed Latif and Da Silva Santos, Joanna Cecilia and Tanvir, Ridwanul Hasan and Ulfat, Noshin and Al Rifat, Fahmid and Carvalho Lopes, Vinícius"",
  title =        ""Using large language models to generate junit tests: An empirical study"",
  booktitle =    ""Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering"",
  series =       ""EASE '24"",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Salerno, Italy"",
  pages =        ""313--322"",
  doi =          ""10.1145/3661167.3661216"",
  url =          ""https://doi.org/10.1145/3661167.3661216""
}";Survey;Acode generation model generates code by taking a prompt from a code comment, existing code, or a combination of both. Although codegenerationmodels(e.g., GitHubCopilot)areincreasinglybeing adopted in practice, it is unclear whether they can successfully be used for unit test generation without fine-tuning for a strongly typed language like Java. To fill this gap, we investigated how well three models (Codex, GPT-3.5-Turbo, and StarCoder) can generate unit tests. We used two benchmarks (HumanEval and Evosuite SF110) to investigate the effect of context generation on the unit test generation process. We evaluated the models based on compilation rates, test correctness, test coverage, and test smells. We found that the Codex model achieved above 80% coverage for the HumanEval dataset, but no model had more than 2% coverage for the EvoSuite SF110 benchmark.Thegeneratedtestsalsosufferedfromtestsmells, such as Duplicated Asserts and Empty Tests.;Reflections;LLM-Pure-Prompting;Other;Other, GPT-Family;% Test Smells, Test Coverage, % Build;-
P46;Generating Software Tests for Mobile Applications Using Fine-Tuned Large Language Models;2024;Hoffman2024;C: AST;Conference;"@Inproceedings{Hoffman2024 ,
  author =       ""Hoffmann, Jacob and Frister, Demian"",
  title =        ""Generating Software Tests for Mobile Applications Using Fine-Tuned Large Language Models"",
  booktitle =    ""Proceedings of the 5th ACM/IEEE International Conference on Automation of Software Test (AST 2024)"",
  series =       ""AST '24"",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Lisbon, Portugal"",
  pages =        ""76--77"",
  doi =          ""10.1145/3644032.3644454"",
  url =          ""https://doi.org/10.1145/3644032.3644454""
}";Research Contribution;Check, too much long to be included here;Unit Test Generation;LLM-Pure-FineTune;MBPP, HumanEval;Mistral, CodeLlama, Llama-Family;% Pass;-
P47;FlakyFix: Using Large Language Models for Predicting Flaky Test Fix Categories and Test Code Repair;2024;Fatima2024;J: TSE;Journal;"@article{Fatima2024,
  title = ""FlakyFix: Using Large Language Models for Predicting Flaky Test Fix Categories and Test Code Repair"",
  author = ""Fatima, Sakina and Hemmati, Hadi and C. Briand, Lionel"",
  journal = ""IEEE Transactions on Software Engineering"",
  month = """",
  year = ""2025"",
  volume = ""50"",
  number = ""12"",
  pages = ""3146-3171"",
  address = ""Los Alamitos, CA, USA"",
  publisher = ""IEEE Computer Society"",
  doi = ""10.1109/TSE.2024.3472476"",
  url = ""https://doi.org/10.1109/TSE.2024.3472476""
}";Research Contribution;Flaky tests are problematic because they nondeterministically pass or fail for the same software version under test, causing confusion and wasting development effort. While machine learning models have been used to predict flakiness and its root causes, there is much less work on providing support to f ix the problem. To address this gap, in this paper, we focus on predicting the type of fix that is required to remove flakiness and then repair the test code on that basis. We do this for a subset of flaky tests where the root cause of flakiness is in the test itself and not in the production code. One key idea is to guide the repair process with additional knowledge about the test’s flakiness in the form of its predicted fix category. Thus, we first propose a framework that automatically generates labeled datasets for 13 fix categories and trains models to predict the fix category of a flaky test by analyzing the test code only. Our experimental results using code models and few-shot learning show that we can correctly predict most of the fix categories. To show the usefulness of such fix category labels for automatically repairing flakiness, we augment the prompts of GPT 3.5 Turbo, a Large Language Model (LLM), with such extra knowledge to request repair suggestions. The results show that our suggested fix category labels, complemented with incontext learning, significantly enhance the capability of GPT 3.5 Turbo in generating fixes for flaky tests. Based on the execution and analysis of a sample of GPT-repaired flaky tests, we estimate that a large percentage of such repairs, (roughly between 51% and 83%) can be expected to pass. For the failing repaired tests, on average, 16% of the test code needs to be further changed for them to pass.;Test Augmentation or Improvement;LLM-Pure-Prompting;Other;GPT-Family;% Pass, BLEU, CodeBLEU;FlakyFix
P48;First Experiments on Automated Execution of Gherkin Test Specifications with Collaborating LLM Agents;;Bergsmann2024;C: A-TEST;Conference;"@Inproceedings{Bergsmann2024 ,
  author =       ""Severin Bergsmann and Alexander Schmidt and Stefan Fischer and Rudolf Ramler"",
  title =        ""First Experiments on Automated Execution of Gherkin Test Specifications with Collaborating LLM Agents"",
  booktitle =    ""Proceedings of the 15th ACM International Workshop on Automating Test Case Design, Selection and Evaluation, Co-located with: SSTA 2024"",
  series =       """",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""Association for Computing Machinery, Inc"",
  address =      ""Vienna, Austria"",
  pages =        ""12-15"",
  doi =          ""10.1145/3678719.3685692"",
  url =          ""https://dl.acm.org/doi/10.1145/3678719.3685692"",
  number =       """",
  month =        ""9"",
  organization = """",
  note =         """",
}";Research Contribution;"Gherkin is a domain-specific language for describing test scenar-
ios in natural language, which are the basis for automated accep-
tance testing. The emergence ofLarge Language Models (LLMs) has
opened up new possibilities for processing such test specifications
and for generating executable test code. This paper investigates the
feasibility ofemploying LLMs to execute Gherkin test specifications
utilizing the AutoGen multi-agent framework. Our findings show
that our LLM agent system is able to automatically run the given
test scenarios by autonomously exploring the system under test,
generating executable test code on the fly, and evaluating execution
results. We observed high success rates for executing simple as well
as more complex test scenarios, but we also identified difficulties
regarding failure scenarios and fault detection.";High-Level Test Gen;LLM-Pure-Prompting;No Bmk-Ds;GPT-Family;% Pass, Execution Time, Other;-
P49;Generating Accurate Assert Statements for Unit Test Cases using Pretrained Transformers;2022;Tufano2022;C: AST;Conference;"@Inproceedings{Tufano2022 ,
  author =       ""Tufano, Michele and Drain, Dawn and Svyatkovskiy, Alexey and Sundaresan, Neel"",
  title =        ""Generating accurate assert statements for unit test cases using pretrained transformers"",
  booktitle =    ""Proceedings of the 3rd ACM/IEEE International Conference on Automation of Software Test"",
  series =       ""AST '22"",
  editor =       """",
  volume =       """",
  year =         ""2022"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Pittsburgh, Pennsylvania"",
  pages =        ""54--64"",
  doi =          ""10.1145/3524481.3527220"",
  url =          ""https://doi.org/10.1145/3524481.3527220""
}";Research Contribution;Unit testing represents the foundational basis of the software testing pyramid, beneath integration and end-to-end testing. Automated software testing researchers have proposed a variety of techniques to assist developers in this time-consuming task. In this paper we present an approach to support developers in writing unit test cases by generating accurate and useful assert statements. Our approach is based on a state-of-the-art transformer model initially pretrained on an English textual corpus. This semantically rich model is then trained in a semisupervised fashion on a large corpus of source code. Finally, we f inetune this model on the task of generating assert statements for unit tests. The resulting model is able to generate accurate assert statements for a given method under test. In our empirical evaluation, the model was able to predict the exact assert statements written by developers in 62% of the cases in the first attempt. The results show 80% relative improvement for top-1 accuracy over the previous RNN-based approach in the literature. We also show the substantial impact of the pretraining process on the performances of our model, as well as comparing it with assert auto-completion task. Finally, we demonstrate how our approach can be used to augment EvoSuite test cases, with additional asserts leading to improved test coverage.;Oracle Generation;LLM-Pure-FineTune;Defects4J, CodeSearchNet;BART;Test Coverage, Other;-
P50;On Learning Meaningful Assert Statements for Unit Test Cases;2020;Watson2020;C: ICSE;Conference;"@Inproceedings{Watson2020 ,
  author =       ""Cody Watson and Michele Tufano and Kevin Moran and Gabriele Bavota and Denys Poshyvanyk"",
  title =        ""On learning meaningful assert statements for unit test cases"",
  booktitle =    ""Proceedings - International Conference on Software Engineering"",
  series =       ""ICSE '20"",
  editor =       """",
  volume =       """",
  year =         ""2020"",
  publisher =    ""IEEE Computer Society"",
  address =      ""Seoul, South Korea"",
  pages =        ""1398--1409"",
  doi =          ""10.1145/3377811.3380429"",
  url =          ""https://doi.org/10.1145/3377811.3380429""
}";Research Contribution;"Software testing is an essential part of the software lifecycle and
requires a substantial amount of time and effort. It has been estimated
that software developers spend close to 50% of their time on
testing the code they write. For these reasons, a long standing goal
within the research community is to (partially) automate software
testing. While several techniques and tools have been proposed
to automatically generate test methods, recent work has criticized
the quality and usefulness of the assert statements they generate.
Therefore, we employ a Neural Machine Translation (NMT) based
approach called Atlas (AuTomatic Learning of Assert Statements)
to automatically generate meaningful assert statements for test
methods. Given a test method and a focal method (i.e., the main
method under test), Atlas can predict a meaningful assert statement
to assess the correctness of the focal method. We applied
Atlas to thousands of test methods from GitHub projects and it
was able to predict the exact assert statement manually written
by developers in 31% of the cases when only considering the top-
1 predicted assert. When considering the top-5 predicted assert
statements, Atlas is able to predict exact matches in 50% of the
cases. These promising results hint to the potential usefulness of
our approach as (i) a complement to automatic test case generation
techniques, and (ii) a code completion support for developers, who
can benefit from the recommended assert statements while writing
test code.";Oracle Generation;None;Custom;ATLAS;BLEU;ATLAS
P51;AsserT5: Test Assertion Generation Using a Fine-Tuned Code Language Model;2025;Primbs2025;C: AST;Conference;"@Inproceedings{Primbs2025 ,
  author =       ""Severin Primbs and Benedikt Fein and Gordon Fraser"",
  title =        ""AsserT5: Test Assertion Generation Using a Fine-Tuned Code Language Model"",
  booktitle =    ""Proceedings 6th ACM/IEEE International Conference on Automation of Software Test (AST 2025)"",
  series =       ""AST '25"",
  editor =       """",
  volume =       """",
  year =         ""2025"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Ontario, Canada"",
  pages =        """",
  doi =          ""10.48550/arXiv.2502.02708"",
  url =          ""https://doi.org/10.48550/arXiv.2502.02708""
}";Research Contribution;Writing good software tests can be challenging, therefore approaches that support developers are desirable. While generating complete tests automatically is such an approach commonly proposed in research, developers may already have specific test scenarios in mind and thus just require help in selecting the most suitable test assertions for these scenarios. This can be done using deep learning models to predict assertions for given test code. Prior research on assertion generation trained these models specifically for the task, raising the question how much the use of larger models pre-trained on code that have emerged since then can improve their performance. In particular, while abstracting identifiers has been shown to improve specifically trained models, it remains unclear whether this also generalises to models pre-trained on non-abstracted code. Finally, even though prior work demonstrated high accuracy it remains unclear how this translates into the effectiveness of the assertions at their intended application -- finding faults. To shed light on these open questions, in this paper we propose AsserT5, a new model based on the pre-trained CodeT5 model, and use this to empirically study assertion generation. We find that the abstraction and the inclusion of the focal method are useful also for a fine-tuned pre-trained model, resulting in test assertions that match the ground truth assertions precisely in up to 59.5\% of cases, more than twice as precise as prior models. However, evaluation on real bugs from the Defects4J dataset shows that out of 138 bugs detectable with assertions in real-world projects, AsserT5 was only able to suggest fault-finding assertions for 33, indicating the need for further improvements.;Oracle Generation;LLM-Pure-Prompting;Defects4J, Methods2Test;ATLAS, TOGA, BART, AssertT5, CodeT5, GPT-Family;% Build,ML-metrics, BLEU, Bugs Rate;
P54;Simulink Mutation Testing using CodeBERT;2025;ZhangAST2025;C: AST;Conference;"@Inproceedings{ZhangAST2025 ,
  author =       ""Zhang, Jingfan and Ghobari, Delaram and Sabetzadeh, Mehrdad and Nejati, Shiva"",
  title =        ""Simulink Mutation Testing using CodeBERT"",
  booktitle =    ""Proceedings 6th ACM/IEEE International Conference on Automation of Software Test (AST 2025)"",
  series =       ""AST '25"",
  editor =       """",
  volume =       """",
  year =         ""2025"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Ontario, Canada"",
  pages =        """",
  doi =          ""-"",
  url =          ""-""
}";Research Contribution;We present BERTiMuS, an approach that uses CodeBERTto generate mutants for Simulink models. BERTiMuS converts Simulink models into textual representations, masks tokens from the derived text, and uses CodeBERT to predict the masked tokens. Simulink mutants are obtained by replacing the masked tokens with predictions from CodeBERT. We evaluate BERTiMuS using Simulink models from an industrial benchmark, and compare it with FIM– a state-of-the-art mutation tool for Simulink. We show that, relying exclusively on CodeBERT, BERTiMuS can generate the block-based Simulink mutation patterns documented in the literature. Further, our results indicate that: (a) BERTiMuS is complementary to FIM, and (b) when one considers a requirements-aware notion of mutation testing, BERTiMuS outperforms FIM.;Test Augmentation or Improvement;Hybrid-FineTune;Custom;CodeBert;Mutation Rate;-
P55;VALTEST: Automated Validation of Language Model Generated Test Cases;2024;Taherkhani2024;arXiv;arXiv;"@misc{Taherkhani2024,
  title = ""VALTEST: Automated Validation of Language Model Generated Test Cases"",
  author = ""Hamed Taherkhani and Hadi Hemmati"",
  archivePrefix = ""arXiv Preprint"",
  year = ""2024"",
  publisher = ""arXiv"",
  doi = ""10.48550/arXiv.2411.08254"",
  url = ""https://doi.org/10.48550/arXiv.2411.08254""
}";Research Contribution;Large Language Models (LLMs) have demonstrated significant potential in automating software testing, specifically in generating unit test cases. However, the validation of LLM-generated test cases remains a challenge, particularly when thegroundtruthisunavailable.ThispaperintroducesVALTEST,anovelframework designed to automatically validate test cases generated by LLMs by leveraging token probabilities. We evaluate VALTEST using nine test suites generated from three datasets—HumanEval, MBPP, and LeetCode—across three LLMs—GPT-4o, GPT-3.5-turbo, and LLama3.1 8b. By extracting statistical features from token probabilities, we train a machine learning model to predict test case validity. VALTEST increases the validity rate of test cases by 6.2% to 24%, depending on the dataset and LLM. Our results suggest that token probabilities are reliable indicators for distinguishing between valid and invalid test cases, which provides a robust solution for improving the correctness of LLM-generated test cases in software testing. In addition, we found that replacing the identified invalid test cases by VALTEST, using a Chain-of-Thought prompting results in a more effective test suite while keeping the high validity rates;Unit Test Generation;Hybrid-Prompting;HumanEval, MBPP, LeetCode;Llama-Family, GPT-Family;Test Coverage, Mutation Rate;-
P56;Codet: Code Generation with Generated Tests;2022;Chen2023;arXiv;arXiv;"@misc{Chen2023,
  author = ""Bei Chen and   Fengji Zhang and Anh Nguyen and Daoguang Zan and  Zeqi Lin and Jian{-}Guang Lou and Weizhu Chen"",
  title = ""CodeT: Code Generation with Generated Tests"",
  archivePrefix = ""arXiv Preprint"",
  year = ""2023"",
  publisher = ""arXiv"",
  doi = ""10.48550/arXiv.2207.10397"",
  url = ""https://doi.org/10.48550/arXiv.2207.10397""
}";Research Contribution;The task of generating code solutions for a given programming problem can benef it from the use of pre-trained language models such as Codex, which can produce multiple diverse samples. However, a major challenge for this task is to select the most appropriate solution from the multiple samples generated by the pretrained language models. A natural way to evaluate the quality and correctness of a code solution is to run it against a set of test cases, but the manual creation of such test cases is often costly and time-consuming. In this paper, we propose a novel method, CODET, that leverages the same pre-trained language models to automatically generate test cases for the code samples, thus reducing the human effort and increasing the coverage of the test scenarios. CODET then executes the code samples using the generated test cases and performs a dual execution agreement, which considers both the consistency of the outputs against the generated test cases and the agreement of the outputs with other code samples. We conduct comprehensive experiments on four benchmarks, HumanEval, MBPP, APPS, and CodeContests, using five different pre-trained language models with varying sizes and capabilities. Our results show that CODET can significantly improve the performance of code solution selection over previous methods, achieving remarkable and consistent gains across different models and benchmarks. For instance, CODET improves the pass@1 metric on HumanEval to 658%, which represents an absolute improvement of 188% over the code-davinci-002 model, and an absolute improvement of more than 20% over the previous state-of-the-art results;Unit Test Generation;LLM-Pure-Prompting;HumanEval, MBPP, APPS;OpenAI Codex, Codegen, Other;Test Coverage;CodeT
P57;The Prompt Alchemist: Automated LLM-Tailored Prompt Optimization for Test Case Generation;2025;Gao2025;arXiv;arXiv;"@misc{Gao2025,
  author = ""Shuzheng Gao and Chaozheng Wang and Cuiyun Gao and Xiaoqian Jiao and Chun Yong Chong and Shan Gao and Michael R Lyu"",
  title = ""The Prompt Alchemist: Automated LLM-Tailored Prompt Optimization for Test Case Generation"",
  archivePrefix = ""arXiv Preprint"",
  year = ""2025"",
  publisher = ""arXiv"",
  doi = ""10.48550/arXiv.2501.01329"",
  url = ""https://doi.org/10.48550/arXiv.2501.01329""
}";Research Contribution;Test cases are essential for validating the reliability and quality of software applications. Recent studies have demonstrated the capability of Large Language Models (LLMs) to generate useful test cases for given source code. However, the existing work primarily relies on human-written plain prompts, which often leads to suboptimal results since the performance of LLMs can be highly influenced by the prompts. Moreover, these approaches use the same prompt for all LLMs, overlooking the fact that different LLMs might be best suited to different prompts. Given the wide variety of possible prompt formulations, automatically discovering the optimal prompt for each LLM presents a significant challenge. Although there are methods on automated prompt optimization in the natural language processing field, they are hard to produce effective prompts for the test case generation task. First, the methods iteratively optimize prompts by simply combining and mutating existing ones without proper guidance, resulting in prompts that lack diversity and tend to repeat the same errors in the generated test cases. Second, the prompts are generally lack of domain contextual knowledge, limiting LLMs' performance in the task.;Unit Test Generation;LLM-Pure-Prompting;Defects4J;Qwen 2, Llama-Family, GPT-Family;Test Coverage;-
